,Year,Primary Enrollment,GDP
0,2001,2389188.0,23822.0601178964
1,2002,2389188.0,24255.3385818322
2,2003,2389188.0,28300.4630963791
3,2004,2389188.0,32143.6814078562
4,2005,2320738.0,36382.5079164537
5,2006,2305211.0,40504.0607253203
6,2007,2260819.0,44659.8951408034
7,2008,2200335.0,46710.5055759013
8,2009,2193237.0,40876.3101540295
9,2010,2168022.0,47562.0834253057
10,2011,2153778.0,52223.696112356
11,2012,2182843.0,52669.0899632316
12,2013,2206136.0,52635.1749580433
13,2014,2249164.0,50955.9983232404
14,2015,2303964.0,43596.1355365546
15,2016,2318914.0,42315.6037056806
16,2017,2364626.0,45129.4292980922
17,2018,2407006.0,46548.6384108296
18,2019,2407739.0,46328.6718408497
19,2020,2407739.0,43258.2638715601
